CODE,TITLE,DATE
CATOW:ATB,CAPTAIN AMERICA THEATER OF WAR: AMERICA THE BEAUTIFUL,2009
CATOW:BIA,CAPTAIN AMERICA THEATER OF WAR: A BROTHER IN ARMS,2009
CATOW:GOMC,CAPTAIN AMERICA THEATER OF WAR: GHOSTS OF MY COUNTRY,2009
CATOW:OZP,CAPTAIN AMERICA THEATER OF WAR: OPERATION ZERO POINT,2008
CATOW:POD,CAPTAIN AMERICA THEATER OF WAR: PRISONERS OF DUTY,2010
CATOW:TSO,CAPTAIN AMERICA THEATER OF WAR: TO SOLDIER ON,2009
CB,CAPTAIN BRITAIN (British Comic),1976-1977
CB2,CAPTAIN BRITAIN VOL. 2 (British Comic),1985-1986
CB&MDEF,CAPTAIN BRITAIN & MIGHTY DEFENDERS,2015
CB&MI13,CAPTAIN BRITAIN & MI13,2008-2009
CDAWN,CRIMSON DAWN,1997
CDYNAMO,CRIMSON DYNAMO,2003-2004
CEDGE,CUTTING EDGE,1995
CEN:DS,CENTURY: DISTANT SONS,1996
CGR,COSMIC GHOST RIDER,2018-2019
CHAMBER,CHAMBER,2002-2003
CHAMPC,CHAMP COMICS,1940-1943
CHAMPIONC,CHAMPION COMICS,1939-1940
CHAOS,CHAOS WAR,2010-2011
CHAOS:AF,CHAOS WAR: ALPHA FLIGHT,2011
CHAOS:ARES,CHAOS WAR: ARES,2011
CHAOS:CK,CHAOS WAR: CHAOS KING,2011
CHAOS:DA,CHAOS WAR: DEAD AVENGERS,2011
CHAOS:GS,CHAOS WAR: GOD SQUAD,2011
CHAOS:T,CHAOS WAR: THOR,2011
CHAOS:X,CHAOS WAR: X-MEN,2011
CHMPS,CHAMPIONS,1975-1978
CHMPS2,CHAMPIONS VOL. 2,2016-2019
CHMPS2 1.MU,CHAMPIONS VOL. 2 1.MU,2017
CHMPS3,CHAMPIONS VOL. 3,2016-2019
CHILI,CHILI,1969-1973
CINDYC,CINDY COMICS,1947-1949
CINDYS,CINDY SMITH,1950
CK,COMBAT KELLY,1951-1957
CK2,COMBAT KELLY VOL. 2,1972-1973
CLAN,CLANDESTINE,1994-1995
CLAN2,CLANDESTINE VOL. 2,2008
